postcode,easting,northing
CF110JB,318034,173387
CF110JD,318055,173416
CF110JE,318090,173450
CF110JF,318143,173485
CF110JG,318189,173520
CF110JH,318232,173555
CF110JJ,318232,173555
CF110JL,318223,172932
CF110JN,318192,173399
CF110JP,317956,173298
CF110JQ,318142,173376
CF110JR,317716,173813
CF110JS,318026,172974
CF110JT,318083,173346
CF110JU,318095,173263
CF110JW,318131,172897
CF110JX,318162,172863
CF110JY,318218,172856
CF110JZ,318162,172814
CF110LA,318243,173422
CF110LB,318243,173422
CF110LD,318262,173475
CF110LE,318018,173310
CF110LF,318032,173266
CF110SA,317529,172977
CF110SB,317555,172950
CF110SD,317578,172924
CF110SE,317639,172861
CF110SF,317674,172844
CF110SG,317527,173030
CF110SH,317485,173045
CF110SJ,317485,173045
CF110SN,317514,173330
CF110SR,317661,173460
CF110SW,317622,173069
CF110SY,317777,172794
CF110WZ,317180,174761
CF110XR,317517,174423
CF111AA,317180,174761
CF111AU,317180,174761
CF111BP,317180,174761
CF111BR,317180,174761
CF111BU,317180,174761
CF111BW,317180,174761
CF111BZ,317180,174761
CF111DA,317180,174761
CF111DB,317180,174761
CF111DE,317180,174761
CF111EB,317180,174761
CF111EH,317180,174761
CF111EJ,317180,174761
CF111EQ,317180,174761
CF111EX,317180,174761
CF111FJ,317180,174761
CF111FP,317180,174761
CF111FT,317180,174761
CF111GN,317180,174761
CF111GW,317180,174761
CF111HP,317180,174761
CF111JA,317180,174761
CF111JE,317180,174761
CF111JT,317180,174761
CF111JX,317180,174761
CF111LJ,317180,174761
CF111NA,317180,174761
CF111NB,317180,174761
CF111NF,317180,174761
CF111NH,317180,174761
CF111NX,317180,174761
CF111PN,317180,174761
CF111QB,317180,174761
CF111QD,317180,174761
CF111QG,317180,174761
CF111QN,317180,174761
CF111QQ,317180,174761
CF111RA,317180,174761
CF111RG,317180,174761
CF111RS,317180,174761
CF111RT,317180,174761
CF111RX,317180,174761
CF111SA,317180,174761
CF111SB,317180,174761
CF111SF,317180,174761
CF111TE,317180,174761
CF111TF,317180,174761
CF111TG,317180,174761
CF111TJ,317180,174761
CF111TQ,317180,174761
CF111TW,317180,174761
CF111UA,317180,174761
CF111UE,317180,174761
CF111UF,317180,174761
